CVR,Organisationsnavn,Note,Hjemmeside,Kategorier v. metodeworkshop,Privat vandværk,Rådgiver,Producent/Leverandør,Vand,Klimatilpasning,"Affald, ressourcer & materialer",Luft,Natur,Aktørgruppe,  Vand i rør 💧,"Jord, Vand og Natur 🌎 ",Klimatilpasning 🌊,Luft 💨,Materialer og Ressourcer ♻️,Status,Type,Type forkortelse,Antal ansatte,Antal ansatte (interval),Brachekode,Branche,Formål,Adresse,By,Kommune,Postnummer,Region,Land,Latitude,Longitude,Kilde,Metode
27508405,AB KRANSYSTEM ApS,,https://abkransystem.dk/,Kernen,,,1,,,1,,,Producenter og leverandører (Materialer og ressourcer),,,,,"Diverse serviceløsninger → Salgsplatforme;
Diverse serviceløsninger → Reperation/forlængelse af produkters levetid",NORMAL,Anpartsselskab,APS,11,okt-19,466300,Engroshandel med maskiner til minedrift og bygge- og anlægsvirksomhed,Selskabets formål er salg og service af kraner og hermed beslægtet virksomhed.,"Nibevej 67, 9200 Aalborg SV",Aalborg SV,Aalborg,9200,Region Nordjylland,Danmark,57.005386,9.867395,DI medlemsforening: DI fremstillingsindustrien,Opslag
31371716,ABB A/S,,https://new.abb.com/dk,Store virksomheder (vægtes),,,1,1,,,1,,"Luftindustrien (luft);
Vandindustrien (Vand i rør)","Spildevandsbehandling → SRO, sensorer, flowmålere, og digitale løsninger tilknyttet renseanlæg",,,Emissioner fra skibsfart → Måle og sensorløsninger (herunder droner samt systemer og teknologier hertil),,NORMAL,Aktieselskab,A/S,389,200-499,466900,Engroshandel med andre maskiner og andet udstyr,"Selskabets formål er at udvikle, producere og markedsføre produkter og ydelser til produktions-, proces- og konsumentsvareindustrien, forsyningsvirksomhed, olie- og gassektoren og infrastrukturmarkedet samt anden efter bestyrelsens skøn dermed beslægtet virksomhed samt direkte eller indirekte ved aktiebesiddelse, finansiering eller på anden måde at være interesseret i tilsvarende virksomheder inden for ovenanførte områder eller områder der har en sammenhæng med de virksomheder, som selskabet direkte eller indirekte måtte være interesseret i.","Meterbuen 33, 2740 Skovlunde",Skovlunde,Ballerup,2740,Region Hovedstaden,Danmark,55.720163,12.417066,Innovationsfonden - miljøteknik,Opslag
20937173,ABC Miljø,,https://www.abc-miljo.dk/,Kernen,,,1,1,,,,,Vandindustrien (Vand i rør),"Spildevandsbehandling → SRO, sensorer, flowmålere, og digitale løsninger tilknyttet renseanlæg",,,,,Aktiv,Enkeltmandsvirksomhed,ENK,,0-0,711290,Anden teknisk rådgivning,,"c/o Abelone Christensen, Kærvænget 23, 7800 Skive",Skive,Skive,7800,Region Midtjylland,Danmark,56.552247,9.068849,CLEAN kortlægning af vandteknologi,Opslag
11308414,Abild Vandværk,,,Forsyningsselskaber,1,,,,,,,,Private vandværker (Vand i rør),,,,,,Aktiv,Forening,FOR,,,360000,Vandforsyning,,"c/o Lena Bysted Bossen, Vennemosevej 22, 6270 Abild",Tønder,Tønder,6270,Region Syddanmark,Danmark,54.979545,8.868064,Lasso X Branchekodeudtræk,Opslag
26995051,ABILDÅ VANDVÆRK,,,Forsyningsselskaber,1,,,,,,,,Private vandværker (Vand i rør),,,,,,Aktiv,Interessentskab,I/S,,,360000,Vandforsyning,,"c/o Poul Nielsen, Timringvej 16, 7480 Vildbjerg",Vildbjerg,Herning,7480,Region Midtjylland,Danmark,56.168949,8.641069,Lasso X Branchekodeudtræk,Opslag
35397698,ACA INDUSTRY ApS,,https://acaindustry.dk/,Kernen,,,1,,,1,,,Producenter og leverandører (Materialer og ressourcer),,,,,"Genanvendelsesløsninger → Mekaniske genanvendelsesløsninger til nedbrydning, sortering og/eller oparbejdning af materialer",NORMAL,Anpartsselskab,APS,2,02-apr,466900,Engroshandel med andre maskiner og andet udstyr,Selskabets formål er at drive virksomhed inden for produktion og salg af miljømateriale.,"c/o Frank Pedersen, Neder-Holluf-Vej 69, 5220 Neder Holluf",Odense SØ,Odense,5220,Region Syddanmark,Danmark,55.357813,10.451728,State of Green,Søgning
33242557,ACO NORDIC A/S,,https://www.aco.dk/,Kernen,,1,1,1,1,,,1,"Rådgivere (Klimatilpasning);
Producenter og leverandører (Klimatilpasning);
Rådgivere (Vand i rør);
Producenter og leverandører (Jord, Vand og Natur)",Spildevandsbehandling,Generel afværgning af forurening → Anden afværgning af forurening,"Klimatilpasning i byer → Modellering, styring og varsling af vandstrømme;
Klimatilpasning i byer;
Klimatilpasning i byer → Rensning af vejvand",,,NORMAL,Aktieselskab,A/S,16,okt-19,467310,"Engroshandel med træ, trælast og byggematerialer","Selskabets formål er at drive handel med produkter til linieafvanding, opsamling og rensning af vand samt med andre produkter, som er nødvendige for at sikre komplet produktudvalg, samt at engagere sig i anden virksomhed i Danmark og udlandet, som efter bestyrelsens skøn fremmer selskabets udvikling. Selskabet markedsfører produkter i Danmark og i udlandet. 2.2Selskabet anvender bl.a. varemærket ACO i forbindelse med markedsføring af sine produkter.","Thorsvej 9, 4100 Ringsted",Ringsted,Ringsted,4100,Region Sjælland,Danmark,55.433146,11.795327,MUDP liste,Opslag
30807464,A-CONSULT AGRO A/S,,http://www.aconsult.dk/,Kernen,,,1,1,,,,,Vandindustrien (Vand i rør),"Vandforsyning → Tanke og rørføring til vanddistribution og lagring;
Spildevandsbehandling → Tanke og rørføring til spildevanddistribution og lagring",,,,,NORMAL,Aktieselskab,A/S,26,20-49,332000,Installation af industrimaskiner og -udstyr,Selskabets formål er at drive entreprenør- samt rådgivningsvirksomhed. Selskabets virksomhed omfatter ikke køb og salg af fast ejendom for fremmed regning.,"Fabriksvej 8, 7800 V. Lyby",Skive,Skive,7800,Region Midtjylland,Danmark,56.643148,8.984731,DI medlemsforening: Bygningsentreprenørsektionen,Søgning
36562919,ACOWA APS,,https://www.acowa.dk/,Kernen,,,1,1,,,,,Vandindustrien (Vand i rør),"Spildevandsbehandling → SRO, sensorer, flowmålere, og digitale løsninger tilknyttet renseanlæg;
Vandforbrug (industri) → Måleinstrumenter",,,,,NORMAL,Anpartsselskab,APS,5,05-sep,582900,Anden udgivelse af software,Selskabets formål er udvikling af softwareløsninger indenfor elektronik og dermed beslægtet virksomhed.,"Industrivej 10, 8305 Tranebjerg",Samsø,Samsø,8305,Region Midtjylland,Danmark,55.834718,10.599643,MUDP liste,Opslag
21826294,ACTI-CHEM A/S,,https://acti-chem.dk/,Kernen,,,1,1,,,,,Vandindustrien (Vand i rør),"Vandforsyning → Vandbehandling;
Spildevandsbehandling → Rensningsløsninger til offentlige spildevandsanlæg og industri",,,,,NORMAL,Aktieselskab,A/S,7,05-sep,467500,Engroshandel med kemiske produkter,"Selskabets formål er at drive virksomhed med handel, industri, konsulentbistand og anden i forbindelse hermed stående virksomhed, herunder at eje og besidde fast ejendom og værdipapirer","Bøgeskovvej 16, 3490 Munkegårde",Kvistgård,Helsingør,3490,Region Hovedstaden,Danmark,56.000067,12.51347,State of Green,Søgning
28892195,ACTULUX A/S,,https://actulux.dk/,Kernen,,,1,,,,1,,Luftindustrien (luft),,,,"Indeklima i boliger, arbejdspladser og udannelsesinstitutioner → Ventilation, rensningsteknologier og filtrering",,NORMAL,Aktieselskab,A/S,76,50-99,279000,Fremstilling af andet elektrisk udstyr,"Selskabets formål er at udvikle, producere og sælge elektriske åbningssystemer til oplukkelige dele i facader og tagkonstruktioner og tilhørende elektroniske styringer for vinduer/tagvinduer/røgventilation","Håndværkervej 2, 9560 Hadsund",Hadsund,Mariagerfjord,9560,Region Nordjylland,Danmark,56.726746,10.113802,DI medlemsforening: DI fremstillingsindustrien,Opslag
28104162,ADEPT WATER TECHNOLOGIES A/S,,https://adeptwatertech.com/,Kernen,,,1,1,,,,,Vandindustrien (Vand i rør),Vandforsyning → Vandbehandling,,,,,NORMAL,Aktieselskab,A/S,16,okt-19,289900,Fremstilling af øvrige maskiner til specielle formål i.a.n.,Selskabets formål er at drive industri og handel og anden efter bestyrelsens skøn beslægtet virksomhed.,"Mileparken 22 st., 2740 Skovlunde",Skovlunde,Ballerup,2740,Region Hovedstaden,Danmark,55.715781,12.424768,CLEAN SMVer fra rekrutteringskampange,Opslag
25447964,Adival A/S,,https://adival.dk/da/,Kernen,,,,,,1,,,Genvindingsindustrien (Materialer og ressourcer),,,,,Innovative cirkulære produkter → Biobaserede produkter,NORMAL,Aktieselskab,A/S,20,20-49,109100,Fremstilling af færdige foderblandinger til landbrugsdyr,"Selskabets formål er at drive virksomhed med indsamling af rest- og spildprodukter fra fødevareindustrien til forarbejdning og forædling af dyrefoder, handel og transport samt anden dermed beslægtet virksomhed efter bestyrelsens skøn.","Stilbjergvej 1A, 7190 Billund",Billund,Billund,7190,Region Syddanmark,Danmark,55.735812,9.100271,MST Digital MiljøAdministration,Opslag
48967353,Adslev Vandværk A.m.b.A,,,Forsyningsselskaber,1,,,,,,,,Private vandværker (Vand i rør),,,,,,Aktiv,Andelsselskab (-forening),ANS,,,360000,Vandforsyning,,"c/o Morten Boelskifte, Gl Ryvej 8, 8362 Adslev",Hørning,Skanderborg,8362,Region Midtjylland,Danmark,56.100069,9.998755,Lasso X Branchekodeudtræk,Opslag
28488602,ADURO A/S,,https://www.aduro.dk/,Kernen,,,1,,,,1,,Luftindustrien (luft),,,,"Emissioner fra brændeovne → Rensningsteknologier og filtrering;
Emissioner fra brændeovne → Måle og sensorløsninger",,NORMAL,Aktieselskab,A/S,48,20-49,464990,Engroshandel med andre husholdningsartikler,"Selskabets formål er at drive aktivitet med udvikling, produktion og salg af grill mv. og dermed forbundne aktiviteter.","Beringvej 17, 8361 Kattrup",Hasselager,Aarhus,8361,Region Midtjylland,Danmark,56.098607,10.070092,MUDP liste,Opslag
17406078,ADVANCE NONWOVEN A/S,,https://advancenonwoven.dk/,Kernen,,,,,,1,,,Genvindingsindustrien (Materialer og ressourcer),,,,,Mekanisk genanvendelse,NORMAL,Aktieselskab,A/S,5,05-sep,282900,Fremstilling af andre maskiner til generelle formål i.a.n.,"Selskabets formål er at drive virksomhed med udvikling, produktion og salg af airlaid produktions linjer.","Møllerupvej 24, 8410 Møllerup",Rønde,Syddjurs,8410,Region Midtjylland,Danmark,56.28429,10.554727,CLEAN SMVer fra rekrutteringskampange,Opslag
32350143,ADVANCED SUBSTRATE TECHNOLOGIES A/S,,https://www.astech.dk/,Kernen,,,1,,,1,,,Producenter og leverandører (Materialer og ressourcer),,,,,Teknologi og komponenter til biogasproduktion,NORMAL,Aktieselskab,A/S,1,01-jan,429900,Anden anlægsvirksomhed i.a.n.,"Selskabets formål er at udvikle og kommercialisere af metoder til behandling og cirkulær udnyttelse af organisk materiale og biomasse i et samlet anlægskoncept, samt al virksomhed, som efter bestyrelsens skøn er beslægtet hermed.","Virkevangen 13, 8960 Assentoft",Randers SØ,Randers,8960,Region Midtjylland,Danmark,56.439439,10.159317,TI - MT patenter,Søgning
38569147,Advantis ApS,,https://www.advantis.dk/,Kernen,,1,,,,,1,,Rådgivere (luft),,,,"Indeklima i boliger, arbejdspladser og udannelsesinstitutioner",,NORMAL,Anpartsselskab,APS,9,05-sep,711220,Rådgivende ingeniørvirksomhed inden for produktions- og maskinteknik,"Selskabets formål er at drive ingeniørvirksomhed indenfor produktions- og maskinteknik, herunder tegnestue samt enhver i forbindelse hermed stående virksomhed.","Inge Lehmanns Gade 10, 8000 Aarhus C",Aarhus C,Aarhus,8000,Region Midtjylland,Danmark,56.15869,10.215539,State of Green,Søgning
29616647,Advent Technologies A/S,,https://www.advent.energy/,Kernen,,,1,,,,1,,Luftindustrien (luft),,,,"Emisioner fra øvrig industri → Rensningsteknologier, filtrering og ventilation",,NORMAL,Aktieselskab,A/S,59,50-99,271100,"Fremstilling af elektriske motorer, generatorer og transformere",Selskabets formål er produktion og salg af brændselsceller samt lignende produkter efter bestyrelsens skøn. Herudover kan selskabet udføre konsulentopgaver.,"Lyngvej 8, 9000 Aalborg",Aalborg,Aalborg,9000,Region Nordjylland,Danmark,57.025243,9.897674,State of Green,Søgning
38234625,Adwizors.com ApS,,https://www.adwizors.com/,Kernen,,1,,,,1,,,Rådgivere (Materialer og ressourcer),,,,,Diverse serviceløsninger,NORMAL,Anpartsselskab,APS,1,01-jan,461400,"Agenturhandel med maskiner, teknisk udstyr, skibe og flyvemaskiner",Selskabets formål er at konsulentvirksomhed indenfor energibranchen.,"c/o Jens Jacob Niclassen, Vesterbro 107 st., 5000 Odense C",Odense C,Odense,5000,Region Syddanmark,Danmark,55.394761,10.369345,Odense Robotics,Søgning
42764787,Aerial Tools ApS,,https://aerial-tools.com/,Kernen,,,1,,,,1,1,"Producenter og leverandører (Jord, Vand og Natur);
Luftindustrien (luft)",,Natur → Droner og teknologier hertil,,Emissioner fra landbrug → Måle og sensorløsninger (herunder droner samt systemer og teknologier hertil),,NORMAL,Anpartsselskab,APS,3,02-apr,466900,Engroshandel med andre maskiner og andet udstyr,Selskabets formål er udvikling og salg af droner samt hermed beslægtet virksomhed.,"c/o Veronica Sobejano Paz, Centrifugevej 374, 2800 Kongens Lyngby",Kongens Lyngby,Lyngby-Taarbæk,2800,Region Hovedstaden,Danmark,55.781512,12.513431,Rekrutteringsliste til CLEAN SMV Communities,Opslag
38358812,Aerotak ApS,,https://www.aerotak.dk/,Kernen,,1,,,,,1,,Rådgivere (luft),,,,"Indeklima i boliger, arbejdspladser og udannelsesinstitutioner",,NORMAL,Anpartsselskab,APS,8,05-sep,711220,Rådgivende ingeniørvirksomhed inden for produktions- og maskinteknik,"Selskabets formål er at drive rådgivende virksomhed indenfor ingeniørteknik samt al virksomhed, som efter direktionens skøn har forbindelse hermed.","Lyngby Hovedgade 10C, 2800 Kongens Lyngby",Kongens Lyngby,Lyngby-Taarbæk,2800,Region Hovedstaden,Danmark,55.775048,12.497372,State of Green,Søgning
15105909,AFATEK A/S,,https://afatek.dk/,Kernen,,,,,,1,,,Genvindingsindustrien (Materialer og ressourcer),,,,,Mekanisk genanvendelse,NORMAL,Aktieselskab,A/S,23,20-49,467700,Engroshandel med affaldsprodukter,Selskabets formål er at genanvende restprodukter fra affaldsforbrænding og hermed beslægtet virksomhed på et forsvarligt økonomisk grundlag og et både kvalitets- og miljømæssigt højt niveau samt at deltage i forskning og udvikling af alternative anvendelser af disse restprodukter,"Gartnervej 40, 4684 Holmegaard",Holmegaard,Næstved,4684,Region Sjælland,Danmark,55.262804,11.859514,MUDP liste,Opslag
38368869,AffaldPlus Service ApS,,https://affaldplus.dk,Forsyningsselskaber,,,,,,1,,,Kommunale affaldsselskaber (Materialer og ressourcer),,,,,,NORMAL,Anpartsselskab,APS,,,351100,Produktion af elektricitet,"Selskabets formål er at drive virksomhed inden for energiproduktion, herunder solcelleanlæg, samt anden hermed forbunden virksomhed efter ledelsens skøn.","Ved Fjorden 20, 4700 Næstved",Næstved,Næstved,4700,Region Sjælland,Danmark,55.208863,11.728949,Gate 21,Søgning
13814708,AFLD I/S,,http://afld.dk,Forsyningsselskaber,,,,,,1,,,Kommunale affaldsselskaber (Materialer og ressourcer),,,,,,Aktiv,Interessentskab,I/S,43,20-49,382110,Behandling og bortskaffelse af ikke-farligt affald,,"Uldjydevej 2, 7400 Herning",Herning,Herning,7400,Region Midtjylland,Danmark,56.127144,9.033162,State of Green,Søgning
36233966,AGERBÆK VANDVÆRK A.m.b.a.,,,Forsyningsselskaber,1,,,,,,,,Private vandværker (Vand i rør),,,,,,Aktiv,Andelsselskab (-forening),ANS,6,05-sep,360000,Vandforsyning,,"Bredgade 5, 6753 Agerbæk",Agerbæk,Varde,6753,Region Syddanmark,Danmark,55.601768,8.803889,Lasso X Branchekodeudtræk,Opslag
27111211,Agerskov Vandværk,,agerskov-vand.dk,Forsyningsselskaber,1,,,,,,,,Private vandværker (Vand i rør),,,,,,Aktiv,Andelsselskab (-forening),ANS,3,02-apr,360000,Vandforsyning,,"c/o Flemming Popp, Jørgensbyvej 5C, 6534 Agerskov",Agerskov,Tønder,6534,Region Syddanmark,Danmark,55.126469,9.159504,Lasso X Branchekodeudtræk,Opslag
23355868,AGERSTED FÆLLED VANDVÆRK,,,Forsyningsselskaber,1,,,,,,,,Private vandværker (Vand i rør),,,,,,Aktiv,Forening,FOR,,,360000,Vandforsyning,,"c/o Jens J Jakobsen, Voersåvej 42, 9330 Agersted",Dronninglund,Brønderslev,9330,Region Nordjylland,Danmark,57.19746,10.402321,Lasso X Branchekodeudtræk,Opslag
